|# 00 00 | 0000 aaaa | |
| | | SHORT, MEDIUM, LONG |
| 00 4F | 0000 aaaa | MAIN R:MIC POSITION (0 - 10) |
| | | CENTER, 1cm - 10cm |
| 00 50 | 0aaa aaaa | MAIN R:MIC LEVEL (0 - 100) |
| 00 51 | 0aaa aaaa | MAIN R:DIRECT MIX (0 - 100) |
| 00 52 | 0000 000a | SUB:STEREO LINK (0 - 1) |
| | | OFF, ON |
| 00 53 | 000a aaaa | SUB L:SP TYPE (0 - 29) |
| | | OFF, ORIGINAL, 1x8", 1x10", 1x12", 2x12", 4x10", |
| | | 4x12", 8x12", USER 1, USER 2, USER 3, USER 4, |
| | | B1x15", B1x18", B2x15", B4x10", B8x10", |
| | | USER 5 - USER16 |
| 00 54 | 0000 0aaa | SUB L:MIC TYPE (0 - 4) |
| | | DYN57, DYN421, CND451, CND87, FLAT |
| 00 55 | 0000 00aa | SUB L:MIC DISTANCE (0 - 2) |
| | | SHORT, MEDIUM, LONG |
| 00 56 | 0000 aaaa | SUB L:MIC POSITION (0 - 10) |
| | | CENTER, 1cm - 10cm |
| 00 57 | 0aaa aaaa | SUB L:MIC LEVEL (0 - 100) |
| 00 58 | 0aaa aaaa | SUB L:DIRECT MIX (0 - 100) |
| 00 59 | 000a aaaa | SUB R:SP TYPE (0 - 29) |
| | | OFF, ORIGINAL, 1x8", 1x10", 1x12", 2x12", 4x10", |
| | | 4x12", 8x12", USER 1, USER 2, USER 3, USER 4, |
| | | B1x15", B1x18", B2x15", B4x10", B8x10", |
| | | USER 5 - USER16 |
| 00 5A | 0000 0aaa | SUB R:MIC TYPE (0 - 4) |
| | | DYN57, DYN421, CND451, CND87, FLAT |
| 00 5B | 0000 00aa | SUB R:MIC DISTANCE (0 - 2) |
| | | SHORT, MEDIUM, LONG |
| 00 5C | 0000 aaaa | SUB R:MIC POSITION (0 - 10) |
| | | CENTER, 1cm - 10cm |
| 00 5D | 0aaa aaaa | SUB R:MIC LEVEL (0 - 100) |
| 00 5E | 0aaa aaaa | SUB R:DIRECT MIX (0 - 100) |
|# 00 5F | 0000 aaaa | |
| 00 60 | 0000 bbbb | MASTER:PATCH LEVEL (0 - 200) |
|# 00 61 | 0000 aaaa | |
| 00 62 | 0000 bbbb | |
| 00 63 | 0000 cccc | |
| 00 64 | 0000 dddd | MASTER:BPM (400 - 2500) |
| 00 65 | 0000 aaaa | MASTER:KEY (0 - 11) |
| | | C(Am), Db(Bbm), D(Bm), Eb(Cm), E(C#m), F(Dm), |
| | | F#(D#m), G(Em), Ab(Fm), A(F#m), Bb(Gm), B(G#m) |
| 00 66 | 0000 000a | MASTER:AMP CTL1 (0 - 1) |
| | | OFF, ON |
| 00 67 | 0000 000a | MASTER:AMP CTL2 (0 - 1) |
| | | OFF, ON |
| 00 68 | 00aa aaaa | CHAIN ELEMENT1 (0 - 48) |
| | | *4 |
| 00 69 | 00aa aaaa | CHAIN ELEMENT2 (0 - 48) |
| | | *4 |
| : | | |
| | | |
| 01 18 | 00aa aaaa | CHAIN ELEMENT49 (0 - 48) |
| | | *4 |
| | | From "CHAIN ELEMENT1" to "CHAIN ELEMENT49" are |
| | | group parameters. |
| | | The DT1 to each parameter is temporarily |
| | | suspended, and the DT1 to the group parameter |
| | | final address automatically checks the pending |
| | | parameters, and if there is no problem, the value |
| | | is set. If the value is incomplete it will not be |
| | | set. |
| | | Parameters before set are read out for the RQ1 to |
| | | pending parameters. Pending values can not be |
| | | read. |
| | | |
| 01 19 | 0000 000a | MASTER:CARRYOVER (0 - 1) |
| | | OFF, ON |
| 01 1A | 0000 000a | CONTROL/ASSIGN:TEMPO HOLD (0 - 1) |
| | | OFF, ON |
| 01 1B | 0aaa aaaa | CONTROL/ASSIGN:INPUT SENS (0 - 100) |
| 01 1C | 0000 000a | BASS MODE (0 - 1) |
| | | OFF, ON |
| 01 1D | 0000 000a | FX EXPANSION(*) (0 - 1) |
| | | OFF, ON |
| 01 1E | 0000 000a | MAIN CH SELECT(*) (0 - 1) |
| | | L, R |
| 01 1F | 0000 000a | SUB CH SELECT(*) (0 - 1) |
| | | L, R |
| 01 20 | 0000 000a | ROUTING(**) (0 - 1) |
| | | STEREO, SELECTOR |
